==== produits ====
Columns prod:

id_produit
titre
slug
reference
description
description_courte
prix
prix_promo
promo_debut
promo_fin
stock
stock_alerte
statut
marque
modele
poids
specifications
garantie
est_en_vedette
est_nouveau
vues
note_moyenne
nombre_avis
id_categorie
id_pays
id_utilisateur
date_creation
created_at
updated_at
deleted_at
en_promo
uuid

Columns local:

id_produit
titre
slug
reference
description
description_courte
prix
prix_promo
promo_debut
promo_fin
stock
stock_alerte
statut
marque
modele
poids
specifications
garantie
est_en_vedette
est_nouveau
vues
note_moyenne
nombre_avis
id_categorie
id_pays
id_utilisateur
date_creation
created_at
updated_at
deleted_at
en_promo
uuid

Sample prod (first 50 rows):

id_produit|titre|slug|reference|description|description_courte|prix|prix_promo|promo_debut|promo_fin|stock|stock_alerte|statut|marque|modele|poids|specifications|garantie|est_en_vedette|est_nouveau|vues|note_moyenne|nombre_avis|id_categorie|id_pays|id_utilisateur|date_creation|created_at|updated_at|deleted_at|en_promo|uuid
616|GV-GDRN4800|geovision-gv-gdrn4800|GV-GDRN4800|AI Deep-Learning IP Camera GV-GDRN4800 is a mini fixed rugged IP dome camera equipped with AI-ISP technology and smart white LEDs for full color surveillance, even in challenging lighting conditions. The camera combines H.265 compression, PoE support, and rugged IP67/IK10 protection for reliable operation in demanding environments. Empowered by deep learning algorithms, its AI technology distinguishes humans and vehicles from other moving objects. When integrated with GeoVision Video Management Software (VMS), it supports AI perimeter protection, real-time alert, event playback, and more. The AI-ISP (Artificial Intelligence Image Signal Processor) enhances image quality in low-light scenes by delivering more detail, reducing noise, and minimizing smearing issues. Optimized for environments with at least minimal ambient light—such as moonlit outdoor areas—the camera delivers superior results in outdoor installations.|4MP H.265 Full Color AI-ISP White LED WDR Pro Mini Fixed Rugged IP Dome|0.00||||999|5|actif|GeoVision|GV-GDRN4800||{"overview":"AI Deep-Learning IP Camera GV-GDRN4800 is a mini fixed rugged IP dome camera equipped with AI-ISP technology and smart white LEDs for full color surveillance, even in challenging lighting conditions. The camera combines H.265 compression, PoE support, and rugged IP67\/IK10 protection for reliable operation in demanding environments. Empowered by deep learning algorithms, its AI technology distinguishes humans and vehicles from other moving objects. When integrated with GeoVision Video Management Software (VMS), it supports AI perimeter protection, real-time alert, event playback, and more. The AI-ISP (Artificial Intelligence Image Signal Processor) enhances image quality in low-light scenes by delivering more detail, reducing noise, and minimizing smearing issues. Optimized for environments with at least minimal ambient light\u2014such as moonlit outdoor areas\u2014the camera delivers superior results in outdoor installations.","tags":["4MP","Fixed","AI","AI-ISP","Full Color","WDR Pro","3 Axis","IP67","IK10"],"features":["AI deep learning: AI Perimeter Protection & Classification (Human, Vehicle)","1\/1.79\" progressive scan CMOS sensor","Triple streams from H.265, H.264 or MJPEG","Min. illumination at 0.0001 lux","Up to 30 fps at 2688 x 1520","AI-ISP for superior noise reduction and vivid color images, day and night","Smart white LED distance up to 20 m (65 ft)","Wide Dynamic Range Pro (WDR Pro)","Ingress protection (IP67)","Vandal resistance (IK10 for metal casing)","Built-in microphone","Built-in microSD card slot (SD \/ SDHC \/ SDXC) for local storage","3-axis mechanism (pan \/ tilt \/ rotate)","DC 12V \/ PoE (IEEE 802.3af)","Defog","3D noise reduction","Smart settings (Line Crossing, Region Entrance, Region Exiting, Target Counting, Region Intrusion, Face Detection)","Motion detection","Text overlay","Privacy mask","20 languages supported","ONVIF (Profile G, S, T, M) conformant"],"platforms":[],"use_cases":[],"detail_notes":["AI Deep-Learning IP Camera GV-GDRN4800 is a mini fixed rugged IP dome camera equipped with AI-ISP technology and smart white LEDs for full color surveillance, even in challenging lighting conditions. The camera combines H.265 compression, PoE support, and rugged IP67\/IK10 protection for reliable operation in demanding environments. Empowered by deep learning algorithms, its AI technology distinguishes humans and vehicles from other moving objects. When integrated with GeoVision Video Management Software (VMS), it supports AI perimeter protection, real-time alert, event playback, and more. The AI-ISP (Artificial Intelligence Image Signal Processor) enhances image quality in low-light scenes by delivering more detail, reducing noise, and minimizing smearing issues. Optimized for environments with at least minimal ambient light\u2014such as moonlit outdoor areas\u2014the camera delivers superior results in outdoor installations.","4MP H.265 Full Color AI-ISP White LED WDR Pro Mini Fixed Rugged IP Dome"],"source_url":"https:\/\/www.geovision.com.tw\/us\/product\/GV-GDRN4800","technical_specs":[{"label":"Model","value":"GV-GDRN4800"},{"label":"Iris","value":"Fixed"},{"label":"Focal Length (mm)","value":"2.8mm"},{"label":"Horizontal FOV","value":"112\u00b0"},{"label":"Maximum Aperture","value":"F\/1.0"},{"label":"Image Format","value":"1\/1.79\""}],"taxonomy":{"family":"Cam\u00e9ras","category":"Dome","subcategory":"Dome","series":"GV-GDRN4800"}}|Garantie constructeur|t|t|2|0.00|0|265|1|1|2026-03-24 10:57:41|2026-03-24 10:57:41|2026-03-24 12:37:34||f|3574e6e0-a9e6-4318-8cc9-077e85713cd8
118|Fourniture de TPE Produit 1|fourniture-de-tpe-produit-1-jewt|AUSJCTUM|Description de démonstration pour Fourniture de TPE Produit 1.|Fourniture de TPE Produit 1 - disponibilité immédiate|614709.00|104041.00|||5|5|disponible|Brother|Série 692|11.00|{"couleur":"blanc","puissance":"72W","connectivite":"Ethernet"}|2 an(s)|t|t|7|3.70|24|21|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-24 12:45:30||t|174b43bb-b033-45fa-9079-073ba84a18be
133|Topographie Produit 1|topographie-produit-1-3cse|5PI2GOOO|Description de démonstration pour Topographie Produit 1.|Topographie Produit 1 - disponibilité immédiate|274672.00|121368.00|||20|5|disponible|DJI|Série 721|3.00|{"couleur":"gris","puissance":"28W","connectivite":"Ethernet"}|3 an(s)|t|t|103|3.50|10|24|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|656663ab-4b98-46b5-8f2a-30cb8a351f14
134|Topographie Produit 2|topographie-produit-2-93he|WZZFTM8X|Description de démonstration pour Topographie Produit 2.|Topographie Produit 2 - disponibilité immédiate|125148.00||||38|5|disponible|Samsung|Série 663|5.00|{"couleur":"noir","puissance":"74W","connectivite":"USB-C"}|1 an(s)|f|f|407|4.70|17|24|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|2dd87a78-e5b2-48a1-9f46-117f8a0638e8
135|Topographie Produit 3|topographie-produit-3-qbgc|MEBTR9XV|Description de démonstration pour Topographie Produit 3.|Topographie Produit 3 - disponibilité immédiate|501421.00|468982.00|||21|5|disponible|Brother|Série 160|12.00|{"couleur":"noir","puissance":"67W","connectivite":"USB-C"}|1 an(s)|f|f|281|3.90|17|24|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||t|a5fa57e4-364e-41bb-b45b-2c26ca27f6cd
136|Topographie Produit 4|topographie-produit-4-aonc|LTNXYWUT|Description de démonstration pour Topographie Produit 4.|Topographie Produit 4 - disponibilité immédiate|1148490.00||||6|5|disponible|Lenovo|Série 792|1.00|{"couleur":"blanc","puissance":"15W","connectivite":"USB-C"}|1 an(s)|f|t|225|3.70|53|24|1|1|2026-03-12 17:44:14|2026-03-12 17:44:14|2026-03-12 17:44:14||f|b4bf59a1-6cfe-4c81-bcd1-a402a607d81c

Sample local (first 50 rows):

id_produit|titre|slug|reference|description|description_courte|prix|prix_promo|promo_debut|promo_fin|stock|stock_alerte|statut|marque|modele|poids|specifications|garantie|est_en_vedette|est_nouveau|vues|note_moyenne|nombre_avis|id_categorie|id_pays|id_utilisateur|date_creation|created_at|updated_at|deleted_at|en_promo|uuid
43|Scanner documentaire Kodak Alaris S2085f|scanner-documentaire-kodak-alaris-s2085f-18-2|CAT-18-02|Produit de demonstration pour la sous-categorie Scanner documentaire.|Scanner documentaire - modele Kodak Alaris S2085f|2118910.00||||12|3|disponible|Huawei|Kodak Alaris S2085f|9.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Scanner documentaire","series":"Kodak Alaris S2085f"},"tags":["demo","catalogue","scanner-documentaire"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|41|0.00|0|18|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|c3191ace-7ad9-4a72-b921-5cdfe9bac628
44|Scanner documentaire Epson WorkForce DS-870|scanner-documentaire-epson-workforce-ds-870-18-3|CAT-18-03|Produit de demonstration pour la sous-categorie Scanner documentaire.|Scanner documentaire - modele Epson WorkForce DS-870|2894412.00||||14|3|disponible|Huawei|Epson WorkForce DS-870|14.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Scanner documentaire","series":"Epson WorkForce DS-870"},"tags":["demo","catalogue","scanner-documentaire"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|67|0.00|0|18|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|92866875-b13e-4802-a6d9-ec2eaf27e0b1
45|Baie NAS Synology DS923+|baie-nas-synology-ds923-19-1|CAT-19-01|Produit de demonstration pour la sous-categorie Baie NAS.|Baie NAS - modele Synology DS923+|350334.00||||24|3|disponible|DJI|Synology DS923+|12.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Baie NAS","series":"Synology DS923+"},"tags":["demo","catalogue","baie-nas"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|101|0.00|0|19|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|f6870624-8a7e-42c2-bdb9-07456e347ea0
46|Baie NAS QNAP TS-464|baie-nas-qnap-ts-464-19-2|CAT-19-02|Produit de demonstration pour la sous-categorie Baie NAS.|Baie NAS - modele QNAP TS-464|1579444.00||||24|3|disponible|HP|QNAP TS-464|10.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Baie NAS","series":"QNAP TS-464"},"tags":["demo","catalogue","baie-nas"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|97|0.00|0|19|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|49da08e2-8252-46a3-9d6c-4c1efc4752e3
41|Drone Autel EVO II Pro|drone-autel-evo-ii-pro-16-3|CAT-16-03|Produit de demonstration pour la sous-categorie Drone.|Drone - modele Autel EVO II Pro|1528109.00||||30|3|disponible|ZKTeco|Autel EVO II Pro|2.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Ingenierie","subcategory":"Drone","series":"Autel EVO II Pro"},"tags":["demo","catalogue","drone"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|58|0.00|0|16|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|93f94c7e-c100-4b1a-8acf-bfb0fd066a61
42|Scanner documentaire Fujitsu fi-8170|scanner-documentaire-fujitsu-fi-8170-18-1|CAT-18-01|Produit de demonstration pour la sous-categorie Scanner documentaire.|Scanner documentaire - modele Fujitsu fi-8170|408996.00||||19|3|disponible|MikroTik|Fujitsu fi-8170|17.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Scanner documentaire","series":"Fujitsu fi-8170"},"tags":["demo","catalogue","scanner-documentaire"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|103|0.00|0|18|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|84111a36-0b78-4774-987f-a26895742307
47|Baie NAS Asustor Lockerstor 4|baie-nas-asustor-lockerstor-4-19-3|CAT-19-03|Produit de demonstration pour la sous-categorie Baie NAS.|Baie NAS - modele Asustor Lockerstor 4|1309087.00||||6|3|disponible|HP|Asustor Lockerstor 4|24.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Baie NAS","series":"Asustor Lockerstor 4"},"tags":["demo","catalogue","baie-nas"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|74|0.00|0|19|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|633c66a6-92ad-41e6-bc48-b48650e06e23
39|Drone DJI Matrice 350 RTK|drone-dji-matrice-350-rtk-16-1|CAT-16-01|Produit de demonstration pour la sous-categorie Drone.|Drone - modele DJI Matrice 350 RTK|3348721.00||||13|3|disponible|DJI|DJI Matrice 350 RTK|25.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Ingenierie","subcategory":"Drone","series":"DJI Matrice 350 RTK"},"tags":["demo","catalogue","drone"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|19|0.00|0|16|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-08 16:30:12||f|b84b87b5-e7f5-4b50-85e7-a7659646334f
38|TPE PAX A920|tpe-pax-a920-15-3|CAT-15-03|Produit de demonstration pour la sous-categorie TPE.|TPE - modele PAX A920|2883309.00||||13|3|disponible|ISD|PAX A920|12.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Ingenierie","subcategory":"TPE","series":"PAX A920"},"tags":["demo","catalogue","tpe"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|82|0.00|0|15|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-08 16:27:20||f|596b7677-36b7-4588-9310-f94bfeb9d65d
40|Drone DJI Mavic 3 Enterprise|drone-dji-mavic-3-enterprise-16-2|CAT-16-02|Produit de demonstration pour la sous-categorie Drone.|Drone - modele DJI Mavic 3 Enterprise|1539147.00||||6|3|disponible|Dell|DJI Mavic 3 Enterprise|26.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Ingenierie","subcategory":"Drone","series":"DJI Mavic 3 Enterprise"},"tags":["demo","catalogue","drone"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|90|0.00|0|16|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-08 16:07:32||f|6cd70727-3bbd-41ad-9494-96b6cda6de1c
37|TPE Verifone VX680|tpe-verifone-vx680-15-2|CAT-15-02|Produit de demonstration pour la sous-categorie TPE.|TPE - modele Verifone VX680|2704195.00||||11|3|disponible|Dell|Verifone VX680|26.00|{"tags":["demo","catalogue","tpe"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|70|0.00|0|15|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-08 18:53:41||f|b2e60676-84b2-4920-8cd6-684cd36ac7a5
48|Serveur de sauvegarde Dell PowerEdge R550|serveur-de-sauvegarde-dell-poweredge-r550-20-1|CAT-20-01|Produit de demonstration pour la sous-categorie Serveur de sauvegarde.|Serveur de sauvegarde - modele Dell PowerEdge R550|2803435.00||||26|3|disponible|ISD|Dell PowerEdge R550|11.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Serveur de sauvegarde","series":"Dell PowerEdge R550"},"tags":["demo","catalogue","serveur-de-sauvegarde"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|105|0.00|0|20|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|fffa2efb-5441-4c33-916e-58e2343f8149
49|Serveur de sauvegarde HPE ProLiant DL380 Gen11|serveur-de-sauvegarde-hpe-proliant-dl380-gen11-20-2|CAT-20-02|Produit de demonstration pour la sous-categorie Serveur de sauvegarde.|Serveur de sauvegarde - modele HPE ProLiant DL380 Gen11|1662420.00||||23|3|disponible|ZKTeco|HPE ProLiant DL380 Gen11|23.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Serveur de sauvegarde","series":"HPE ProLiant DL380 Gen11"},"tags":["demo","catalogue","serveur-de-sauvegarde"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|98|0.00|0|20|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|90df6ed5-7213-4788-a85e-70ed99be58b8
50|Serveur de sauvegarde Lenovo ThinkSystem SR630 V2|serveur-de-sauvegarde-lenovo-thinksystem-sr630-v2-20-3|CAT-20-03|Produit de demonstration pour la sous-categorie Serveur de sauvegarde.|Serveur de sauvegarde - modele Lenovo ThinkSystem SR630 V2|268983.00||||29|3|disponible|Huawei|Lenovo ThinkSystem SR630 V2|18.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Serveur de sauvegarde","series":"Lenovo ThinkSystem SR630 V2"},"tags":["demo","catalogue","serveur-de-sauvegarde"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|51|0.00|0|20|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|046fefe9-53d6-4a06-b382-68efb68daa74
51|Logiciel GED Alfresco Content Services|logiciel-ged-alfresco-content-services-21-1|CAT-21-01|Produit de demonstration pour la sous-categorie Logiciel GED.|Logiciel GED - modele Alfresco Content Services|3297526.00||||14|3|disponible|ZKTeco|Alfresco Content Services|1.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Logiciel GED","series":"Alfresco Content Services"},"tags":["demo","catalogue","logiciel-ged"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|52|0.00|0|21|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|3e7883cd-b43d-4de5-a873-9477c64f79e1
52|Logiciel GED OpenText Content Suite|logiciel-ged-opentext-content-suite-21-2|CAT-21-02|Produit de demonstration pour la sous-categorie Logiciel GED.|Logiciel GED - modele OpenText Content Suite|3035466.00||||12|3|disponible|Dell|OpenText Content Suite|20.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Logiciel GED","series":"OpenText Content Suite"},"tags":["demo","catalogue","logiciel-ged"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|8|0.00|0|21|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|dcfd6970-4db3-4136-aef1-953f9e602b39
53|Logiciel GED M-Files|logiciel-ged-m-files-21-3|CAT-21-03|Produit de demonstration pour la sous-categorie Logiciel GED.|Logiciel GED - modele M-Files|523422.00||||4|3|disponible|ZKTeco|M-Files|24.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Archivage numerique","subcategory":"Logiciel GED","series":"M-Files"},"tags":["demo","catalogue","logiciel-ged"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|88|0.00|0|21|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|b0caaf78-5ae8-4743-96d6-232571d249ab
54|Ordinateur portable Dell Latitude 5540|ordinateur-portable-dell-latitude-5540-23-1|CAT-23-01|Produit de demonstration pour la sous-categorie Ordinateur portable.|Ordinateur portable - modele Dell Latitude 5540|2987214.00||||18|3|disponible|ZKTeco|Dell Latitude 5540|3.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Ordinateur portable","series":"Dell Latitude 5540"},"tags":["demo","catalogue","ordinateur-portable"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|2|0.00|0|23|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|7a210471-68cf-4efe-b1c0-5f5087bd93e8
55|Ordinateur portable HP ProBook 450 G10|ordinateur-portable-hp-probook-450-g10-23-2|CAT-23-02|Produit de demonstration pour la sous-categorie Ordinateur portable.|Ordinateur portable - modele HP ProBook 450 G10|2933604.00||||29|3|disponible|ISD|HP ProBook 450 G10|3.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Ordinateur portable","series":"HP ProBook 450 G10"},"tags":["demo","catalogue","ordinateur-portable"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|83|0.00|0|23|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|5eab2e3d-9771-472d-aef7-55f0a4b03219
56|Ordinateur portable Lenovo ThinkPad E14 Gen 5|ordinateur-portable-lenovo-thinkpad-e14-gen-5-23-3|CAT-23-03|Produit de demonstration pour la sous-categorie Ordinateur portable.|Ordinateur portable - modele Lenovo ThinkPad E14 Gen 5|1596564.00||||9|3|disponible|ISD|Lenovo ThinkPad E14 Gen 5|30.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Ordinateur portable","series":"Lenovo ThinkPad E14 Gen 5"},"tags":["demo","catalogue","ordinateur-portable"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|95|0.00|0|23|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|76fd1544-0ec0-412d-a6d9-753284f5f81b
57|Ordinateur de bureau Dell OptiPlex 7010|ordinateur-de-bureau-dell-optiplex-7010-24-1|CAT-24-01|Produit de demonstration pour la sous-categorie Ordinateur de bureau.|Ordinateur de bureau - modele Dell OptiPlex 7010|1939921.00||||4|3|disponible|DJI|Dell OptiPlex 7010|20.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Ordinateur de bureau","series":"Dell OptiPlex 7010"},"tags":["demo","catalogue","ordinateur-de-bureau"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|20|0.00|0|24|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|4eabc6fe-7ae8-4b34-ab9c-fd070681f039
58|Ordinateur de bureau HP ProDesk 400 G9|ordinateur-de-bureau-hp-prodesk-400-g9-24-2|CAT-24-02|Produit de demonstration pour la sous-categorie Ordinateur de bureau.|Ordinateur de bureau - modele HP ProDesk 400 G9|2752602.00||||23|3|disponible|Cisco|HP ProDesk 400 G9|8.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Ordinateur de bureau","series":"HP ProDesk 400 G9"},"tags":["demo","catalogue","ordinateur-de-bureau"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|104|0.00|0|24|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|1c10b951-fbac-486e-8622-8cdc91b40eee
59|Ordinateur de bureau Lenovo ThinkCentre M75s Gen 2|ordinateur-de-bureau-lenovo-thinkcentre-m75s-gen-2-24-3|CAT-24-03|Produit de demonstration pour la sous-categorie Ordinateur de bureau.|Ordinateur de bureau - modele Lenovo ThinkCentre M75s Gen 2|2772128.00||||14|3|disponible|ISD|Lenovo ThinkCentre M75s Gen 2|16.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Ordinateur de bureau","series":"Lenovo ThinkCentre M75s Gen 2"},"tags":["demo","catalogue","ordinateur-de-bureau"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|84|0.00|0|24|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|b95672c9-6501-46c0-9185-bc959f00689b
60|Serveur rack Dell PowerEdge R650|serveur-rack-dell-poweredge-r650-25-1|CAT-25-01|Produit de demonstration pour la sous-categorie Serveur rack.|Serveur rack - modele Dell PowerEdge R650|1391633.00||||21|3|disponible|APC|Dell PowerEdge R650|5.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Serveur rack","series":"Dell PowerEdge R650"},"tags":["demo","catalogue","serveur-rack"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|69|0.00|0|25|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|62fa0894-77fa-44e5-9c79-b1f91269b691
61|Serveur rack HPE ProLiant DL360 Gen10|serveur-rack-hpe-proliant-dl360-gen10-25-2|CAT-25-02|Produit de demonstration pour la sous-categorie Serveur rack.|Serveur rack - modele HPE ProLiant DL360 Gen10|165679.00||||11|3|disponible|MikroTik|HPE ProLiant DL360 Gen10|5.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Serveur rack","series":"HPE ProLiant DL360 Gen10"},"tags":["demo","catalogue","serveur-rack"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|97|0.00|0|25|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|462fa35f-781b-4df4-a228-35f564b4e9ee
62|Serveur rack Lenovo ThinkSystem SR650 V2|serveur-rack-lenovo-thinksystem-sr650-v2-25-3|CAT-25-03|Produit de demonstration pour la sous-categorie Serveur rack.|Serveur rack - modele Lenovo ThinkSystem SR650 V2|1986154.00||||12|3|disponible|APC|Lenovo ThinkSystem SR650 V2|8.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Serveur rack","series":"Lenovo ThinkSystem SR650 V2"},"tags":["demo","catalogue","serveur-rack"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|118|0.00|0|25|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|54302f83-de64-46f7-92b7-1f2cab4d5bc0
63|Imprimante professionnelle HP LaserJet Enterprise MFP M430f|imprimante-professionnelle-hp-laserjet-enterprise-mfp-m430f-26-1|CAT-26-01|Produit de demonstration pour la sous-categorie Imprimante professionnelle.|Imprimante professionnelle - modele HP LaserJet Enterprise MFP M430f|1459071.00||||5|3|disponible|APC|HP LaserJet Enterprise MFP M430f|30.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Imprimante professionnelle","series":"HP LaserJet Enterprise MFP M430f"},"tags":["demo","catalogue","imprimante-professionnelle"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|51|0.00|0|26|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|bc6e50ef-ca44-40b0-bcb6-5ce057f5ed13
64|Imprimante professionnelle Brother MFC-L6900DW|imprimante-professionnelle-brother-mfc-l6900dw-26-2|CAT-26-02|Produit de demonstration pour la sous-categorie Imprimante professionnelle.|Imprimante professionnelle - modele Brother MFC-L6900DW|271220.00||||8|3|disponible|APC|Brother MFC-L6900DW|13.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Imprimante professionnelle","series":"Brother MFC-L6900DW"},"tags":["demo","catalogue","imprimante-professionnelle"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|74|0.00|0|26|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|985bd807-9e9e-4f74-99e5-e0092aa501df
